output to first exmaple : 
[from : 0 to :14]
[from : 14 to :4]
[from : 4 to :19]
[from : 19 to :25]
[from : 25 to :26]
[from : 26 to :8]
[from : 8 to :23]
[from : 23 to :9]
[from : 9 to :13]
[from : 13 to :29]
[from : 29 to :3]
[from : 3 to :11]
[from : 11 to :7]
[from : 7 to :6]
[from : 6 to :16]
[from : 16 to :22]
[from : 22 to :10]
[from : 10 to :5]
[from : 5 to :20]
[from : 20 to :15]
[from : 15 to :18]
[from : 18 to :21]
[from : 21 to :12]
[from : 12 to :27]
[from : 27 to :2]
[from : 2 to :17]
[from : 17 to :24]
[from : 24 to :1]
[from : 1 to :28]
[from : 28 to :0]
output to secound exmaple : 
[from : Roswell, NM to :Santa Fe, NM]
[from : Santa Fe, NM to :Tucson, AZ]
[from : Tucson, AZ to :Trinidad, CO]
[from : Trinidad, CO to :Salida, CO]
[from : Salida, CO to :Sterling, CO]
[from : Sterling, CO to :Scottsbluff, NB]
[from : Scottsbluff, NB to :Sheridan, WY]
[from : Sheridan, WY to :Williston, ND]
[from : Williston, ND to :Regina, SA]
[from : Regina, SA to :Rock Springs, WY]
[from : Rock Springs, WY to :Salt Lake City, UT]
[from : Salt Lake City, UT to :Twin Falls, ID]
[from : Twin Falls, ID to :Walla Walla, WA]
[from : Walla Walla, WA to :Yakima, WA]
[from : Yakima, WA to :Wenatchee, WA]
[from : Wenatchee, WA to :Seattle, WA]
[from : Seattle, WA to :Vancouver, BC]
[from : Vancouver, BC to :Tacoma, WA]
[from : Tacoma, WA to :Salem, OR]
[from : Salem, OR to :Weed, CA]
[from : Weed, CA to :Red Bluff, CA]
[from : Red Bluff, CA to :Sacramento, CA]
[from : Sacramento, CA to :Stockton, CA]
[from : Stockton, CA to :San Jose, CA]
[from : San Jose, CA to :San Francisco, CA]
[from : San Francisco, CA to :Santa Rosa, CA]
[from : Santa Rosa, CA to :Salinas, CA]
[from : Salinas, CA to :Santa Barbara, CA]
[from : Santa Barbara, CA to :Santa Ana, CA]
[from : Santa Ana, CA to :San Diego, CA]
[from : San Diego, CA to :San Bernardino, CA]
[from : San Bernardino, CA to :Reno, NV]
[from : Reno, NV to :Spokane, WA]
[from : Spokane, WA to :Richfield, UT]
[from : Richfield, UT to :San Angelo, TX]
[from : San Angelo, TX to :San Antonio, TX]
[from : San Antonio, TX to :Waco, TX]
[from : Waco, TX to :Tyler, TX]
[from : Tyler, TX to :Shreveport, LA]
[from : Shreveport, LA to :Vicksburg, MS]
[from : Vicksburg, MS to :Tupelo, MS]
[from : Tupelo, MS to :Tuscaloosa, AL]
[from : Tuscaloosa, AL to :Selma, AL]
[from : Selma, AL to :Texarkana, TX]
[from : Texarkana, TX to :Sherman, TX]
[from : Sherman, TX to :Wichita Falls, TX]
[from : Wichita Falls, TX to :Seminole, OK]
[from : Seminole, OK to :Tulsa, OK]
[from : Tulsa, OK to :Wichita, KS]
[from : Wichita, KS to :Salina, KS]
[from : Salina, KS to :Topeka, KS]
[from : Topeka, KS to :Saint Joseph, MO]
[from : Saint Joseph, MO to :Sedalia, MO]
[from : Sedalia, MO to :Springfield, MO]
[from : Springfield, MO to :Saint Louis, MO]
[from : Saint Louis, MO to :Springfield, IL]
[from : Springfield, IL to :Terre Haute, IN]
[from : Terre Haute, IN to :Vincennes, IN]
[from : Vincennes, IN to :South Bend, IN]
[from : South Bend, IN to :Saint Joseph, MI]
[from : Saint Joseph, MI to :Waukegan, IL]
[from : Waukegan, IL to :Rockford, IL]
[from : Rockford, IL to :Wisconsin Dells, WI]
[from : Wisconsin Dells, WI to :Stevens Point, WI]
[from : Stevens Point, WI to :Wausau, WI]
[from : Wausau, WI to :Rhinelander, WI]
[from : Rhinelander, WI to :Rochester, MN]
[from : Rochester, MN to :Waterloo, IA]
[from : Waterloo, IA to :Saint Paul, MN]
[from : Saint Paul, MN to :Saint Cloud, MN]
[from : Saint Cloud, MN to :Watertown, SD]
[from : Watertown, SD to :Valley City, ND]
[from : Valley City, ND to :Winnipeg, MB]
[from : Winnipeg, MB to :Sioux Falls, SD]
[from : Sioux Falls, SD to :Yankton, SD]
[from : Yankton, SD to :Sioux City, IA]
[from : Sioux City, IA to :Richmond, IN]
[from : Richmond, IN to :Springfield, OH]
[from : Springfield, OH to :Toledo, OH]
[from : Toledo, OH to :Sandusky, OH]
[from : Sandusky, OH to :Ravenna, OH]
[from : Ravenna, OH to :Youngstown, OH]
[from : Youngstown, OH to :Warren, PA]
[from : Warren, PA to :Toronto, ON]
[from : Toronto, ON to :Steubenville, OH]
[from : Steubenville, OH to :Wheeling, WV]
[from : Wheeling, WV to :Uniontown, PA]
[from : Uniontown, PA to :Winchester, VA]
[from : Winchester, VA to :Washington, DC]
[from : Washington, DC to :Salisbury, MD]
[from : Salisbury, MD to :Wilmington, DE]
[from : Wilmington, DE to :Trenton, NJ]
